artist_name,title,chart_year,popularity
Bruno Mars,Locked out of Heaven,2012,91
Imagine Dragons,Believer,2017,91
Billie Eilish,lovely (with Khalid),2018,91
Ed Sheeran,Perfect,2017,89
Avicii,Wake Me Up,2013,89
Post Malone,Circles,2019,89
Coldplay,Paradise,2011,88
One Direction,What Makes You Beautiful,2012,88
Ariana Grande,7 rings,2019,88
The Chainsmokers,Closer,2016,88
The Weeknd,The Hills,2015,88
Travis Scott,goosebumps,2017,88
Eminem,Love The Way You Lie,2010,87
Justin Bieber,Love Yourself,2016,87
Lady Gaga,Shallow,2019,87
Maroon 5,Maps,2014,87
Kendrick Lamar,HUMBLE.,2017,87
Drake,Passionfruit,2017,86
Kesha,TiK ToK,2010,86
Taylor Swift,Lover,2019,86
Calvin Harris,Summer,2014,86
Pitbull,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",2011,86
DJ Snake,Let Me Love You,2016,86
Marshmello,Happier,2018,86
Rihanna,Needed Me,2016,84
Usher,DJ Got Us Fallin' In Love (feat. Pitbull),2010,84
Adele,Rolling in the Deep,2011,84
Zedd,The Middle,2018,84
Khalid,Young Dumb & Broke,2017,84
Lana Del Rey,Doin' Time,2019,83
Lorde,Royals,2013,83
George Ezra,Budapest,2014,83
Cardi B,I Like It,2018,83
Flo Rida,Club Can't Handle Me (feat. David Guetta),2010,81
Katy Perry,Last Friday Night (T.G.I.F.),2011,80
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",2016,80
Beyoncé,Love On Top,2011,79
Migos,Walk It Talk It,2018,79
Chris Brown,Loyal (feat. Lil Wayne & Tyga),2014,78
Trey Songz,Bottoms Up (feat. Nicki Minaj),2010,78
Charlie Puth,How Long,2018,77
Jason Derulo,It Girl,2011,76
DJ Khaled,I'm On One,2011,75
Selena Gomez,Come & Get It,2013,75
David Guetta,Memories (feat. Kid Cudi),2010,74
