chart_year,avg_energy,energy_yoy_change,avg_danceability,danceability_yoy_change,avg_valence,avg_bpm
2010,76.7,,65.3,,56.7,119.6
2011,76.1,-0.6000000000000085,63.6,-1.6999999999999957,54.9,127.3
2012,74.1,-2.0,64.0,0.3999999999999986,53.3,123.1
2013,72.4,-1.6999999999999886,63.5,-0.5,53.0,119.9
2014,71.0,-1.4000000000000057,65.9,2.4000000000000057,51.0,119.7
2015,67.5,-3.5,65.2,-0.7000000000000028,46.8,120.9
2016,65.8,-1.7000000000000028,64.5,-0.7000000000000028,46.9,115.8
2017,63.2,-2.5999999999999943,73.6,9.099999999999994,47.7,122.0
2018,65.5,2.299999999999997,70.8,-2.799999999999997,47.6,120.5
2019,62.8,-2.700000000000003,72.3,1.5,51.1,123.8
