chart_year,title,artist_name,popularity
2010,Talking to the Moon,Bruno Mars,87
2010,Love The Way You Lie,Eminem,87
2010,"Hey, Soul Sister",Train,87
2011,Paradise,Coldplay,88
2011,Pumped Up Kicks,Foster The People,88
2011,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,87
2012,Locked out of Heaven,Bruno Mars,91
2012,Lost,Frank Ocean,91
2012,Paradise,Coldplay,88
2013,Sweater Weather,The Neighbourhood,95
2013,Another Love,Tom Odell,94
2013,Locked out of Heaven,Bruno Mars,91
2014,All of Me,John Legend,90
2014,Night Changes,One Direction,88
2014,Maps,Maroon 5,87
2015,The Nights,Avicii,89
2015,The Less I Know The Better,Tame Impala,88
2015,The Hills,The Weeknd,88
2016,Closer,The Chainsmokers,88
2016,Starboy,The Weeknd,88
2016,Love Yourself,Justin Bieber,87
2017,Believer,Imagine Dragons,91
2017,Perfect,Ed Sheeran,89
2017,Shape of You,Ed Sheeran,89
2018,lovely (with Khalid),Billie Eilish,91
2018,Lucid Dreams,Juice WRLD,89
2018,we fell in love in october,girl in red,88
2019,lovely (with Khalid),Billie Eilish,91
2019,Lost in the Fire (feat. The Weeknd),Gesaffelstein,89
2019,Someone You Loved,Lewis Capaldi,89
