artist_name,artist_type,chart_appearances,avg_popularity,first_year,last_year
Taylor Swift,Solo,21,75.4,2010,2019
Drake,Solo,18,78.5,2010,2019
Calvin Harris,Solo,18,77.3,2011,2018
Ariana Grande,Solo,14,78.9,2013,2019
Rihanna,Solo,14,77.1,2010,2016
Bruno Mars,Solo,13,83.5,2010,2018
Maroon 5,Band/Group,11,73.5,2010,2018
Post Malone,Solo,10,84.3,2017,2019
Ed Sheeran,Solo,10,78.2,2011,2019
Chris Brown,Solo,10,71.1,2010,2016
Jason Derulo,Solo,10,69.3,2010,2014
One Direction,Band/Group,9,81.4,2012,2016
Kendrick Lamar,Solo,9,81.0,2012,2018
Katy Perry,Solo,9,75.3,2010,2014
David Guetta,Solo,9,63.8,2010,2016
The Weeknd,Solo,8,82.1,2015,2018
Coldplay,Band/Group,8,81.4,2011,2016
Imagine Dragons,Band/Group,8,80.8,2012,2018
The Chainsmokers,Duo,8,79.3,2014,2018
Kesha,Solo,8,75.5,2010,2012
Avicii,Solo,7,81.0,2012,2015
Marshmello,Solo,7,79.9,2016,2019
Adele,Solo,7,78.6,2011,2016
Lana Del Rey,Solo,7,70.6,2012,2019
Selena Gomez,Solo,7,69.6,2013,2017
Billie Eilish,Solo,6,87.2,2017,2019
Justin Bieber,Solo,6,80.8,2010,2016
Pitbull,Solo,6,80.7,2011,2015
Lorde,Solo,6,79.2,2013,2017
Flo Rida,Solo,6,78.0,2010,2016
Cardi B,Solo,6,77.7,2017,2019
Lady Gaga,Solo,6,76.8,2010,2019
Migos,Trio,6,75.7,2017,2018
Usher,Solo,6,72.8,2010,2015
Charlie Puth,Solo,6,69.7,2016,2018
Trey Songz,Solo,6,69.5,2010,2015
Travis Scott,Solo,5,83.8,2015,2019
Khalid,Solo,5,80.4,2017,2019
Eminem,Solo,5,80.4,2010,2018
DJ Snake,Solo,5,78.0,2014,2016
Zedd,Solo,5,76.6,2013,2018
George Ezra,Solo,5,76.0,2014,2018
Lil Wayne,Solo,5,75.2,2010,2016
Beyoncé,Solo,5,74.8,2011,2016
DJ Khaled,Solo,5,68.2,2010,2018
