title,artist_name,years_charted,chart_years
Ain't It Fun,Paramore,2,"2013, 2014"
All My Friends (feat. Tinashe & Chance the Rapper),Snakehips,2,"2015, 2016"
Bad Blood,Taylor Swift,2,"2014, 2015"
Better Now,Post Malone,2,"2018, 2019"
Bodak Yellow,Cardi B,2,"2017, 2018"
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,2,"2015, 2017"
Don't,Bryson Tiller,2,"2015, 2016"
Geronimo,Sheppard,2,"2014, 2015"
Hands To Myself,Selena Gomez,2,"2015, 2016"
Here,Alessia Cara,2,"2015, 2016"
Him & I (with Halsey),G-Eazy,2,"2017, 2018"
Ho Hey,The Lumineers,2,"2012, 2013"
Home,Phillip Phillips,2,"2012, 2013"
I Knew You Were Trouble.,Taylor Swift,2,"2012, 2013"
I Love It (feat. Charli XCX),Icona Pop,2,"2012, 2013"
If I Die Young,The Band Perry,2,"2010, 2011"
LOVE. FEAT. ZACARI.,Kendrick Lamar,2,"2017, 2018"
Latch,Disclosure,2,"2012, 2014"
Locked out of Heaven,Bruno Mars,2,"2012, 2013"
Love Me Harder,Ariana Grande,2,"2014, 2015"
My House,Flo Rida,2,"2015, 2016"
Na Na,Trey Songz,2,"2014, 2015"
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,2,"2010, 2011"
Paradise,Coldplay,2,"2011, 2012"
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,2,"2014, 2015"
Renegades,X Ambassadors,2,"2015, 2016"
SICKO MODE,Travis Scott,2,"2018, 2019"
Same Old Love,Selena Gomez,2,"2015, 2016"
Sexy And I Know It,LMFAO,2,"2011, 2012"
Somebody,Natalie La Rose,2,"2014, 2015"
Stereo Love - Radio Edit,Edward Maya,2,"2010, 2011"
Stole the Show,Kygo,2,"2015, 2016"
Style,Taylor Swift,2,"2014, 2015"
Talk Dirty (feat. 2 Chainz),Jason Derulo,2,"2013, 2014"
Talking Body,Tove Lo,2,"2014, 2015"
Team,Lorde,2,"2013, 2014"
Unsteady,X Ambassadors,2,"2015, 2016"
We Found Love,Rihanna,2,"2011, 2012"
What's My Name?,Rihanna,2,"2010, 2011"
You Don't Own Me (feat. G-Eazy),SAYGRACE,2,"2015, 2016"
You Know You Like It,DJ Snake,2,"2014, 2015"
lovely (with Khalid),Billie Eilish,2,"2018, 2019"
