,tempo_bpm,energy,danceability,loudness_db,liveness,valence,duration_sec,acousticness,speechiness,popularity
tempo_bpm,1.0,0.119,-0.112,0.09,0.015,0.021,-0.017,-0.125,0.149,-0.025
energy,0.119,1.0,-0.129,0.713,0.184,0.373,-0.05,-0.504,-0.1,-0.234
danceability,-0.112,-0.129,1.0,-0.041,-0.113,0.265,-0.168,-0.076,0.162,0.093
loudness_db,0.09,0.713,-0.041,1.0,0.128,0.317,-0.083,-0.392,-0.166,-0.145
liveness,0.015,0.184,-0.113,0.128,1.0,0.028,-0.003,-0.116,0.044,-0.137
valence,0.021,0.373,0.265,0.317,0.028,1.0,-0.186,-0.164,0.013,-0.004
duration_sec,-0.017,-0.05,-0.168,-0.083,-0.003,-0.186,1.0,0.026,-0.035,0.009
acousticness,-0.125,-0.504,-0.076,-0.392,-0.116,-0.164,0.026,1.0,-0.01,0.128
speechiness,0.149,-0.1,0.162,-0.166,0.044,0.013,-0.035,-0.01,1.0,0.061
popularity,-0.025,-0.234,0.093,-0.145,-0.137,-0.004,0.009,0.128,0.061,1.0
